model,signal,stage,subject,generalised_ece,faithfulness_divergence
Llama-3.1-8B-Instruct,lc,pre,abstract_algebra,0.4012481369950567,1.2727535402394674
Llama-3.1-8B-Instruct,lc,pre,anatomy,0.23162190764029045,1.4399165734452988
Llama-3.1-8B-Instruct,lc,pre,astronomy,0.16938872445474182,0.8948052157122452
Llama-3.1-8B-Instruct,lc,pre,business_ethics,0.2048611869299019,0.7882548680025434
Llama-3.1-8B-Instruct,lc,pre,clinical_knowledge,0.15963148227900545,0.9972388663534282
Llama-3.1-8B-Instruct,lc,pre,college_biology,0.1346329110571157,0.8859077938155258
Llama-3.1-8B-Instruct,lc,pre,college_chemistry,0.3463967899591932,1.5544192147804141
Llama-3.1-8B-Instruct,lc,pre,college_computer_science,0.2929760196391404,1.2286729357260544
Llama-3.1-8B-Instruct,lc,pre,college_mathematics,0.39997934992776657,1.4942986290454854
Llama-3.1-8B-Instruct,lc,pre,college_medicine,0.20733559787097186,1.0296476649135593
Llama-3.1-8B-Instruct,lc,pre,college_physics,0.36680177278395615,1.4358813396146042
Llama-3.1-8B-Instruct,lc,pre,computer_security,0.14318897727214114,0.7644918671726836
Llama-3.1-8B-Instruct,lc,pre,conceptual_physics,0.23010318886632844,0.8140260572899926
Llama-3.1-8B-Instruct,lc,pre,econometrics,0.4142774618713742,2.035091798993298
Llama-3.1-8B-Instruct,lc,pre,electrical_engineering,0.22912684072636144,1.002015737865422
Llama-3.1-8B-Instruct,lc,pre,elementary_mathematics,0.31757859979912006,1.1696866730461497
Llama-3.1-8B-Instruct,lc,pre,formal_logic,0.3698510044213106,1.4255462180013718
Llama-3.1-8B-Instruct,lc,pre,global_facts,0.3523911106163239,0.866480838864962
Llama-3.1-8B-Instruct,lc,pre,high_school_biology,0.13070917208486785,0.639883717670746
Llama-3.1-8B-Instruct,lc,pre,high_school_chemistry,0.2866870981257636,1.6086663654777293
Llama-3.1-8B-Instruct,lc,pre,high_school_computer_science,0.19202514282527777,0.7637632965189411
Llama-3.1-8B-Instruct,lc,pre,high_school_european_history,0.1815657712954201,0.7406349736557922
Llama-3.1-8B-Instruct,lc,pre,high_school_geography,0.14525869117839932,0.7705992128186083
Llama-3.1-8B-Instruct,lc,pre,high_school_government_and_politics,0.13114758121220887,0.6655479787882808
Llama-3.1-8B-Instruct,lc,pre,high_school_macroeconomics,0.19341226677391496,0.9796393876076467
Llama-3.1-8B-Instruct,lc,pre,high_school_mathematics,0.39747356244723747,1.3290835393231162
Llama-3.1-8B-Instruct,lc,pre,high_school_microeconomics,0.15483237699167987,0.9016981924481582
Llama-3.1-8B-Instruct,lc,pre,high_school_physics,0.3924467897221692,1.498787721962029
Llama-3.1-8B-Instruct,lc,pre,high_school_psychology,0.0989451052935359,0.47351127684433786
Llama-3.1-8B-Instruct,lc,pre,high_school_statistics,0.308982861472228,1.1982983321436538
Llama-3.1-8B-Instruct,lc,pre,high_school_us_history,0.09565811907567431,0.5150915811160257
Llama-3.1-8B-Instruct,lc,pre,high_school_world_history,0.10656015085485747,0.5299190325587911
Llama-3.1-8B-Instruct,lc,pre,human_aging,0.16073385163763917,0.6864464024853557
Llama-3.1-8B-Instruct,lc,pre,human_sexuality,0.13565243791037804,0.6253351860772307
Llama-3.1-8B-Instruct,lc,pre,international_law,0.16277704327037062,0.8549031587638838
Llama-3.1-8B-Instruct,lc,pre,jurisprudence,0.15975923327180813,1.0112918540596025
Llama-3.1-8B-Instruct,lc,pre,logical_fallacies,0.12946693327454814,0.4762701436149179
Llama-3.1-8B-Instruct,lc,pre,machine_learning,0.34001330812196034,1.0609035147210513
Llama-3.1-8B-Instruct,lc,pre,management,0.12738140606711115,0.7757830637037383
Llama-3.1-8B-Instruct,lc,pre,marketing,0.10369786331456426,0.5006486369823893
Llama-3.1-8B-Instruct,lc,pre,medical_genetics,0.13650630080249695,0.7203475046038177
Llama-3.1-8B-Instruct,lc,pre,miscellaneous,0.11840214418344562,0.5187101576568223
Llama-3.1-8B-Instruct,lc,pre,moral_disputes,0.19958036626289746,0.8427752696159173
Llama-3.1-8B-Instruct,lc,pre,moral_scenarios,0.21605174498877772,0.5341416387239113
Llama-3.1-8B-Instruct,lc,pre,nutrition,0.1312934915292596,0.6072560334275261
Llama-3.1-8B-Instruct,lc,pre,philosophy,0.19298420848715986,0.8213719857991987
Llama-3.1-8B-Instruct,lc,pre,prehistory,0.1510381319906595,0.7684029399075926
Llama-3.1-8B-Instruct,lc,pre,professional_accounting,0.31702697775945593,1.489546269315988
Llama-3.1-8B-Instruct,lc,pre,professional_law,0.3702734292648223,1.8277626793185986
Llama-3.1-8B-Instruct,lc,pre,professional_medicine,0.1272239080006423,0.7571514746535372
Llama-3.1-8B-Instruct,lc,pre,professional_psychology,0.18462679625746026,0.9093819964467551
Llama-3.1-8B-Instruct,lc,pre,public_relations,0.19810632824894947,0.8730012016059477
Llama-3.1-8B-Instruct,lc,pre,security_studies,0.2010721825059333,0.8533136027958845
Llama-3.1-8B-Instruct,lc,pre,sociology,0.08459307343333264,0.48614160427074476
Llama-3.1-8B-Instruct,lc,pre,us_foreign_policy,0.12543662180891219,0.28716006401933336
Llama-3.1-8B-Instruct,lc,pre,virology,0.3210273341612658,1.3962827654387429
Llama-3.1-8B-Instruct,lc,pre,world_religions,0.12357385921732156,0.5340107377947065
Llama-3.1-8B-Instruct,lc,post,high_school_macroeconomics,0.14366824021028018,0.4639141891622179
Llama-3.1-8B-Instruct,lc,post,abstract_algebra,0.30836649688011214,0.4897065077773198
Llama-3.1-8B-Instruct,lc,post,high_school_mathematics,0.20802558604552268,0.47964671703185324
Llama-3.1-8B-Instruct,lc,post,college_computer_science,0.3104546989159575,0.5464117615380893
Llama-3.1-8B-Instruct,lc,post,astronomy,0.3881651628830276,0.5829222715077862
Llama-3.1-8B-Instruct,lc,post,anatomy,0.13229932955745663,0.4503561798840165
Llama-3.1-8B-Instruct,lc,post,elementary_mathematics,0.18786989002784868,0.3856012562006184
Llama-3.1-8B-Instruct,lc,post,high_school_computer_science,0.2538408294264809,0.3211745332904495
Llama-3.1-8B-Instruct,lc,post,clinical_knowledge,0.22356766729294522,0.425616601307832
Llama-3.1-8B-Instruct,lc,post,global_facts,0.27601819333520966,0.36129219347765573
Llama-3.1-8B-Instruct,lc,post,college_mathematics,0.20411441925188684,0.47476888407739776
