model,signal,stage,generalised_ECE,faithfulness_divergence
openai/gpt-oss-20b,lc,pre,0.331342019842283,1.750194812456676
openai/gpt-oss-20b,lc,post_calibrated,0.0982700508997474,0.4681655448799599
openai/gpt-oss-20b,lc,post_rewritten,0.2894254717182025,1.1760207554207518
openai/gpt-oss-20b,tp,pre,0.1728699782783621,0.5791285179946072
openai/gpt-oss-20b,tp,post_calibrated,0.0176129384467385,0.4931719176452019
openai/gpt-oss-20b,tp,post_rewritten,0.2937420349759227,1.2386686073202977
openai/gpt-oss-20b,su,pre,0.2697401433620757,1.9849770162650704
openai/gpt-oss-20b,su,post_calibrated,0.0789662305238105,0.4868069744945647
openai/gpt-oss-20b,su,post_rewritten,0.2812800019486738,1.050873110446408
meta-llama/Llama-3.1-8B-Instruct,lc,pre,0.410035772193879,1.4692585309751165
meta-llama/Llama-3.1-8B-Instruct,lc,post_calibrated,0.0852088142866736,0.4401756250292298
meta-llama/Llama-3.1-8B-Instruct,lc,post_rewritten,0.3562741769366373,1.0528813191639288
meta-llama/Llama-3.1-8B-Instruct,tp,pre,0.0769766150241265,0.4629678753786977
meta-llama/Llama-3.1-8B-Instruct,tp,post_calibrated,0.086196686549011,0.4417746323500924
meta-llama/Llama-3.1-8B-Instruct,tp,post_rewritten,0.3566646511944855,1.056703503222546
meta-llama/Llama-3.1-8B-Instruct,su,pre,0.4611957854104915,3.991434054421159
meta-llama/Llama-3.1-8B-Instruct,su,post_calibrated,0.0885449878798722,0.4730670921585719
meta-llama/Llama-3.1-8B-Instruct,su,post_rewritten,0.3579806220940902,1.0747825560274256
qwen/Qwen3-8B,lc,pre,0.3619115532216334,1.8151912770678609
qwen/Qwen3-8B,lc,post_calibrated,0.0762356027541098,0.4791272091744281
qwen/Qwen3-8B,lc,post_rewritten,0.3197344643657105,1.1832574822051964
qwen/Qwen3-8B,tp,pre,0.0911983703308177,0.5075924753513004
qwen/Qwen3-8B,tp,post_calibrated,0.0267514871840333,0.4909614424477356
qwen/Qwen3-8B,tp,post_rewritten,0.3138887290787436,1.1556787592015862
qwen/Qwen3-8B,su,pre,0.3665815221392223,3.202943835335446
qwen/Qwen3-8B,su,post_calibrated,0.0924232503971018,0.4932136745600047
qwen/Qwen3-8B,su,post_rewritten,0.3143295717128656,1.250491003066632
mistralai/Mistral-7B-Instruct-v0.3,lc,pre,0.3792656806307524,1.883642916933982
mistralai/Mistral-7B-Instruct-v0.3,lc,post_calibrated,0.0713370209415841,0.4759965727569731
mistralai/Mistral-7B-Instruct-v0.3,lc,post_rewritten,0.311047768793123,1.0796131389621118
mistralai/Mistral-7B-Instruct-v0.3,tp,pre,0.0075169267193748,0.4881369858924873
mistralai/Mistral-7B-Instruct-v0.3,tp,post_calibrated,0.0425579812985477,0.4967244281535868
mistralai/Mistral-7B-Instruct-v0.3,tp,post_rewritten,0.3133725741598226,1.0865184218397452
mistralai/Mistral-7B-Instruct-v0.3,su,pre,0.447100271072843,4.082815338864807
mistralai/Mistral-7B-Instruct-v0.3,su,post_calibrated,0.0904948962183965,0.4906097416565834
mistralai/Mistral-7B-Instruct-v0.3,su,post_rewritten,0.3006574853285625,1.0406079403727282
