expression,n_items,llm_n,human_n,llm_std,human_std,llm_cv,human_cv,llm_var,human_var
point to,11,99,34,0.06284107101365366,0.05088258477274009,0.06820068000824066,0.07023986529732697,0.003949000206143063,0.002589037433155082
I believe,120,1080,406,0.14526089701576397,0.11810765681182367,0.18427119412216417,0.18039843747639445,0.021100728201824386,0.013949418597579517
seems to,22,198,74,0.1327974861686698,0.06709238686077615,0.1679141961360345,0.09806116191383439,0.017635172332718045,0.004501388374676047
it seems to me,7,63,23,0.14194197118838328,0.07297192052954857,0.20636909117249105,0.10635957998603401,0.020147523184843828,0.005324901185770752
might be,16,144,51,0.14894070369372914,0.09515683648278649,0.26811605651351605,0.3087149275204905,0.022183333216783223,0.009054823529411764
I am pretty sure,27,243,91,0.07522931703001136,0.05323021166081753,0.08543009187713864,0.07593587178451787,0.005659450140801957,0.0028334554334554347
reasonably,20,180,68,0.08131905493887308,0.05788638928944586,0.10330594649165435,0.08255609210743117,0.006612788696151457,0.003350834064969272
suggests,10,90,33,0.1403210746823156,0.1071930077434667,0.1690832653380944,0.15805939479599648,0.019690003999999997,0.01149034090909091
correct me if I am wrong,1,9,3,0.11686267700929061,0.04041451884327381,0.2323108391314254,0.19555412343519585,0.013656885277777779,0.0016333333333333336
maybe,21,189,64,0.14345927822028876,0.09224708022221523,0.3476988996461249,0.48233767436452407,0.020580564507486212,0.00850952380952381
it is clear that,5,45,15,0.05874073939478856,0.1324386650491464,0.06171340557067747,0.14333188858132728,0.003450474464646465,0.017539999999999993
I think,87,783,284,0.1116121779760385,0.18173895750132232,0.17413710705048763,0.3219628465496572,0.012457278272554896,0.03302904867366745
not entirely,32,288,108,0.10454672769437395,0.07534500088843654,0.17945684316542126,0.216820146441544,0.010930018271601578,0.005676869158878504
the evidence suggests,9,81,27,0.07079595963919529,0.06530009620285843,0.07807314813852714,0.09448566974690124,0.005012067901234567,0.004264102564102565
if I recall correctly,60,540,202,0.1261212249938106,0.14971651947969217,0.1816250255925614,0.24470213556839404,0.015906563393939394,0.022415036205113047
indicate,13,117,40,0.06499480166930145,0.05735572758826696,0.07018507818170824,0.08081116955021762,0.00422432424403183,0.0032896794871794875
fairly,21,189,72,0.10584534151002624,0.10291183153759599,0.13304245799451037,0.15227398008029,0.011203236319374085,0.010590845070422537
appears to,27,243,89,0.14434450650383004,0.11248118671430264,0.1756553203593797,0.1689590821531297,0.020835336557834233,0.012652017364657814
