expression,llm_kappa,human_kappa,llm_alpha,llm_beta,hum_alpha,hum_beta
point to,13.344838974937112,79.3103386240059,12.306391144230647,1.0384478307064644,57.452195789292475,21.858142834713423
I believe,5.389006990872578,16.454335231361,4.276382348934855,1.1126246419377226,10.709073447958367,5.745261783402633
seems to,8.59712692274327,47.11082931933706,6.790900823723841,1.8062260990194283,32.23999794281799,14.87083137651906
it seems to me,9.884467798926542,40.8942942093709,6.782498508464438,3.101969290462104,28.064727570010323,12.829566639360577
might be,9.394651305490836,21.618422194255636,5.223175033821689,4.171476271669146,6.647686323473466,14.970735870782171
I am pretty sure,18.158710351294474,72.44087944990014,15.989476460483322,2.1692338908111495,50.78613826224722,21.65474118765291
reasonably,26.473911712872855,62.50472376854647,20.829177374351953,5.644734338520901,43.82866774237403,18.676056026172443
suggests,7.2227269894743475,20.62985607049125,5.975663409744722,1.2470635797296254,13.94094429084107,6.688911779650178
correct me if I am wrong,20.266539141686057,141.078609839411,10.207843784675958,10.058695357010098,29.14771585042153,111.93089398898947
maybe,10.500669187731257,17.574263450837645,4.315171822533973,6.185497365197284,3.3614528868432862,14.21281056399436
it is clear that,6.948627067145536,2.8373275145417045,6.6251268209608964,0.3235002461846397,2.6321340490647733,0.2051934654769313
I think,14.13631089159552,7.092268120614381,9.114606475718233,5.021704415877286,3.969175258098684,3.123092862515697
not entirely,15.230096722497628,39.14973221356249,8.930574662351905,6.299522060145723,13.598490856424695,25.55124135713779
the evidence suggests,10.391461429818978,51.092299151611925,9.440521433795288,0.9509399960236893,35.31332116031577,15.778977991296152
if I recall correctly,8.747994201801546,10.563995016054019,6.133541554600051,2.6144526472014946,6.42084271937452,4.143152296679499
indicate,11.942762325806102,63.82680874145679,11.068498644535516,0.8742636812705862,45.30066402237617,18.526144719080623
fairly,17.07825255972021,21.856555011513148,13.542817399148282,3.5354351605719256,14.723256385282362,7.133298626230787
appears to,4.607973947865563,18.532211071238898,3.793087822387794,0.8148861254777686,12.27285672964137,6.259354341597526
as far as I know,4.838667020039076,60.357982492672306,3.859348328563562,0.9793186914755144,42.07061203802671,18.287370454645593
doubtful,28.51701407109333,72.40016903620918,9.4990846866286,19.017929384464733,12.05827342959538,60.341895606613804
from what I understand,4.053070721376529,49.28152070957265,3.23295861060243,0.8201121107740993,34.54832454775494,14.733196161817718
