model,signal,stage,generalised_ECE_mean,generalised_ECE_std,generalised_ECE_count,faithfulness_divergence_mean,faithfulness_divergence_std,faithfulness_divergence_count
openai/gpt-oss-20b,lc,pre,0.3744539941691298,0.00830994975381442,5,1.978216671754827,0.12740780730070736,5
openai/gpt-oss-20b,lc,post_calibrated,0.10937522476616528,0.012343990858176728,5,0.4589670135905818,0.0034080702734444624,5
openai/gpt-oss-20b,lc,post_rewritten,0.23125821661814094,0.011357162329292443,5,0.7136952929685775,0.02826850689959962,5
openai/gpt-oss-20b,tp,pre,0.1795873092624675,0.010074420984925692,5,0.7282281533836117,0.0731962832572916,5
openai/gpt-oss-20b,tp,post_calibrated,0.11514061663644323,0.0094800964985359,5,0.4711589595862723,0.0021891629456977884,5
openai/gpt-oss-20b,tp,post_rewritten,0.2332356137608988,0.014081612172899952,5,0.683666648385038,0.02687789824891086,5
openai/gpt-oss-20b,su,pre,0.2875485324679119,0.007063605242469559,5,1.9971240799811507,0.08255103155793815,5
openai/gpt-oss-20b,su,post_calibrated,0.061075394202218504,0.013633570540315111,5,0.47011648149938157,0.00813806449352045,5
openai/gpt-oss-20b,su,post_rewritten,0.19050127048411267,0.013769326412201561,5,0.6395976623068512,0.03312615927471441,5
meta-llama/Llama-3.1-8B-Instruct,lc,pre,0.4073363604617549,0.01675885138728713,5,1.7815574006151387,0.07250026844434791,5
meta-llama/Llama-3.1-8B-Instruct,lc,post_calibrated,0.11209114774824862,0.01687773864745778,5,0.4600264222901571,0.006147000836237457,5
meta-llama/Llama-3.1-8B-Instruct,lc,post_rewritten,0.2494397591348692,0.02070423883602394,5,0.6946972647343719,0.055024946146828235,5
meta-llama/Llama-3.1-8B-Instruct,tp,pre,0.08579448004870453,0.01116700803259546,5,0.5858509167912652,0.08114669719559552,5
meta-llama/Llama-3.1-8B-Instruct,tp,post_calibrated,0.08505830211837921,0.015948032963722217,5,0.44621818858268936,0.01190408507339454,5
meta-llama/Llama-3.1-8B-Instruct,tp,post_rewritten,0.2277514108199496,0.015853503891942882,5,0.6407888018062107,0.045457183187518076,5
meta-llama/Llama-3.1-8B-Instruct,su,pre,0.34982813136378965,0.014165885416243742,5,2.3837568571757464,0.0759267719120026,5
meta-llama/Llama-3.1-8B-Instruct,su,post_calibrated,0.0740656484359712,0.016305306227706443,5,0.47024683767459763,0.012217021510355168,5
meta-llama/Llama-3.1-8B-Instruct,su,post_rewritten,0.23797592108068502,0.01497750123700332,5,0.6597037793004709,0.03252997603648981,5
qwen/Qwen3-8B,lc,pre,0.4372120402477277,0.006321212269358924,5,2.002519413804165,0.05744210482824393,5
qwen/Qwen3-8B,lc,post_calibrated,0.12844737890976998,0.012853009529306082,5,0.45135367564299606,0.0057056653062473395,5
qwen/Qwen3-8B,lc,post_rewritten,0.2594933261127058,0.016159610044202435,5,0.6914678191786001,0.03046530854730778,5
qwen/Qwen3-8B,tp,pre,0.4589217844647594,0.007576397958349333,5,45.34991741094093,5.211113720877148,5
qwen/Qwen3-8B,tp,post_calibrated,0.10508657327835784,0.013488328800195369,5,0.4674546023764178,0.002548377903931524,5
qwen/Qwen3-8B,tp,post_rewritten,0.24394851168202342,0.01595068560076603,5,0.6344442894940272,0.019754284990390746,5
qwen/Qwen3-8B,su,pre,0.3857256359351042,0.008675355819987934,5,2.5634949364401205,0.04720138271497417,5
qwen/Qwen3-8B,su,post_calibrated,0.08193594019293951,0.017998029587291627,5,0.4568532595059759,0.0016369195895251053,5
qwen/Qwen3-8B,su,post_rewritten,0.24285019326895863,0.014027659173074853,5,0.6238317976775456,0.02104382836662865,5
mistralai/Mistral-7B-Instruct-v0.3,lc,pre,0.3781413949423147,0.013177879408119058,5,1.838133154558096,0.06562164247894545,5
mistralai/Mistral-7B-Instruct-v0.3,lc,post_calibrated,0.15342865050270443,0.009493685642796644,5,0.5160336441847475,0.009652542559947727,5
mistralai/Mistral-7B-Instruct-v0.3,lc,post_rewritten,0.24676063777976148,0.006395030178390606,5,0.7527079932294717,0.041371634396326865,5
mistralai/Mistral-7B-Instruct-v0.3,tp,pre,0.20663224264743896,0.008558843026295636,5,3.5068230060536587,2.1386494695602316,5
mistralai/Mistral-7B-Instruct-v0.3,tp,post_calibrated,0.1559186360252791,0.009475576162495856,5,0.5177696917426722,0.012307081453469046,5
mistralai/Mistral-7B-Instruct-v0.3,tp,post_rewritten,0.2622672653305088,0.0204487369503595,5,0.776649075141561,0.04798207522560279,5
mistralai/Mistral-7B-Instruct-v0.3,su,pre,0.3554466451681374,0.0055841197373106095,5,2.56904871088057,0.06511548738684587,5
mistralai/Mistral-7B-Instruct-v0.3,su,post_calibrated,0.11367366859920318,0.011243381580371883,5,0.4994094488480645,0.011530502853686122,5
mistralai/Mistral-7B-Instruct-v0.3,su,post_rewritten,0.22914481261558833,0.025876391985035576,5,0.7147675853592207,0.08542260682379775,5
