model,seed,signal,stage,generalised_ECE,faithfulness_divergence
openai/gpt-oss-20b,1,lc,pre,0.380954051876641,1.9270810077752
openai/gpt-oss-20b,1,lc,post_calibrated,0.1257419844382733,0.4591882772245203
openai/gpt-oss-20b,1,lc,post_rewritten,0.2439361791988669,0.7123449199508738
openai/gpt-oss-20b,1,tp,pre,0.1916666774978171,0.6885905674079039
openai/gpt-oss-20b,1,tp,post_calibrated,0.1210707614120799,0.4715702236632893
openai/gpt-oss-20b,1,tp,post_rewritten,0.2445223191483911,0.6984850348157331
openai/gpt-oss-20b,1,su,pre,0.2988060258325288,2.12568235079265
openai/gpt-oss-20b,1,su,post_calibrated,0.074615965515588,0.474368698874165
openai/gpt-oss-20b,1,su,post_rewritten,0.1828545442380748,0.6056529855771478
openai/gpt-oss-20b,2,lc,pre,0.3655421611342656,1.8811846594930688
openai/gpt-oss-20b,2,lc,post_calibrated,0.091360474164968,0.4530482228191403
openai/gpt-oss-20b,2,lc,post_rewritten,0.2227462326518878,0.7156899959964897
openai/gpt-oss-20b,2,tp,pre,0.1732210359857048,0.7097586733334608
openai/gpt-oss-20b,2,tp,post_calibrated,0.0997816231649128,0.4693808717009538
openai/gpt-oss-20b,2,tp,post_rewritten,0.2107005458537593,0.6471379719150393
openai/gpt-oss-20b,2,su,pre,0.2808024735730565,1.9792211786366047
openai/gpt-oss-20b,2,su,post_calibrated,0.0416273599388569,0.4570424553760621
openai/gpt-oss-20b,2,su,post_rewritten,0.1719022347671657,0.6028886286474733
openai/gpt-oss-20b,3,lc,pre,0.3782727901668342,2.0144500767027567
openai/gpt-oss-20b,3,lc,post_calibrated,0.1071889943035697,0.4605062318290125
openai/gpt-oss-20b,3,lc,post_rewritten,0.2260639940494023,0.6857220994583098
openai/gpt-oss-20b,3,tp,pre,0.183795465373744,0.8480425413753812
openai/gpt-oss-20b,3,tp,post_calibrated,0.1182820221969417,0.4747172640810054
openai/gpt-oss-20b,3,tp,post_rewritten,0.228224285916371,0.6630684935881617
openai/gpt-oss-20b,3,su,pre,0.2894349203055548,1.9667894297596615
openai/gpt-oss-20b,3,su,post_calibrated,0.0591153395531815,0.4690666486918982
openai/gpt-oss-20b,3,su,post_rewritten,0.2053398366996048,0.6581536664255286
openai/gpt-oss-20b,4,lc,pre,0.3654145230331247,1.8836457229654653
openai/gpt-oss-20b,4,lc,post_calibrated,0.1128677956111888,0.4614726483606307
openai/gpt-oss-20b,4,lc,post_rewritten,0.2204752737652567,0.6954638109003056
openai/gpt-oss-20b,4,tp,pre,0.1658913797524602,0.6570065642058779
openai/gpt-oss-20b,4,tp,post_calibrated,0.1128626585067713,0.470686187246073
openai/gpt-oss-20b,4,tp,post_rewritten,0.2419338027357986,0.7076905957718195
openai/gpt-oss-20b,4,su,pre,0.2830625540265447,2.0129326778277568
openai/gpt-oss-20b,4,su,post_calibrated,0.0735862487717747,0.4786629850866539
openai/gpt-oss-20b,4,su,post_rewritten,0.2020672800952987,0.6559469099213491
openai/gpt-oss-20b,5,lc,pre,0.3820864446347835,2.184721891837644
openai/gpt-oss-20b,5,lc,post_calibrated,0.1097168753128266,0.4606196877196052
openai/gpt-oss-20b,5,lc,post_rewritten,0.2430694034252911,0.7592556385369085
openai/gpt-oss-20b,5,tp,pre,0.1833619877026113,0.7377424205954346
openai/gpt-oss-20b,5,tp,post_calibrated,0.1237060179015105,0.4694402512400401
openai/gpt-oss-20b,5,tp,post_rewritten,0.2407971151501741,0.7019511458344362
openai/gpt-oss-20b,5,su,pre,0.2856366886018747,1.9009947628890809
openai/gpt-oss-20b,5,su,post_calibrated,0.0564320572316914,0.4714416194681289
openai/gpt-oss-20b,5,su,post_rewritten,0.1903424566204194,0.6753461209627575
meta-llama/Llama-3.1-8B-Instruct,1,lc,pre,0.4073152500992423,1.85087500592096
meta-llama/Llama-3.1-8B-Instruct,1,lc,post_calibrated,0.1097729436103427,0.4534790710631711
meta-llama/Llama-3.1-8B-Instruct,1,lc,post_rewritten,0.2425392303016516,0.6687085266655937
meta-llama/Llama-3.1-8B-Instruct,1,tp,pre,0.0711883854905081,0.544161029417399
meta-llama/Llama-3.1-8B-Instruct,1,tp,post_calibrated,0.0738809962275472,0.4348482432042194
meta-llama/Llama-3.1-8B-Instruct,1,tp,post_rewritten,0.2167313908445401,0.5940673555745909
meta-llama/Llama-3.1-8B-Instruct,1,su,pre,0.3384020742956474,2.3868802512538405
meta-llama/Llama-3.1-8B-Instruct,1,su,post_calibrated,0.0621657408660707,0.4647308422073897
meta-llama/Llama-3.1-8B-Instruct,1,su,post_rewritten,0.2287227258550101,0.637011962184363
meta-llama/Llama-3.1-8B-Instruct,2,lc,pre,0.414082215928154,1.7343382751640395
meta-llama/Llama-3.1-8B-Instruct,2,lc,post_calibrated,0.0941420276470139,0.4584270075833737
