model,signal,Pre-calibration generalised ECE,Post-calibration generalised ECE,Pre-calibration faithfulness divergence,Post-calibration faithfulness divergence
openai/gpt-oss-20b,lc,0.331342019842283,0.0982700508997474,1.750194812456676,0.4681655448799599
openai/gpt-oss-20b,tp,0.1728699782783621,0.0176129384467385,0.5791285179946072,0.4931719176452019
openai/gpt-oss-20b,su,0.2697401433620757,0.0789662305238105,1.9849770162650704,0.4868069744945647
meta-llama/Llama-3.1-8B-Instruct,lc,0.410035772193879,0.0852088142866736,1.4692585309751165,0.4401756250292298
meta-llama/Llama-3.1-8B-Instruct,tp,0.0769766150241265,0.086196686549011,0.4629678753786977,0.4417746323500924
meta-llama/Llama-3.1-8B-Instruct,su,0.4611957854104915,0.0885449878798722,3.991434054421159,0.4730670921585719
qwen/Qwen3-8B,lc,0.3619115532216334,0.0762356027541098,1.8151912770678609,0.4791272091744281
qwen/Qwen3-8B,tp,0.0911983703308177,0.0267514871840333,0.5075924753513004,0.4909614424477356
qwen/Qwen3-8B,su,0.3665815221392223,0.0924232503971018,3.202943835335446,0.4932136745600047
mistralai/Mistral-7B-Instruct-v0.3,lc,0.3792656806307524,0.0713370209415841,1.883642916933982,0.4759965727569731
mistralai/Mistral-7B-Instruct-v0.3,tp,0.0075169267193748,0.0425579812985477,0.4881369858924873,0.4967244281535868
mistralai/Mistral-7B-Instruct-v0.3,su,0.447100271072843,0.0904948962183965,4.082815338864807,0.4906097416565834
