hedging_word,all_scores,count,mean,std,alpha_param,beta_param
I believe,"[0.78, 0.65, 0.65, 0.94, 0.84, 0.66, 0.81, 0.67, 0.87, 0.85, 0.97, 0.96, 0.67, 0.86, 0.83, 0.7, 0.64, 0.94, 0.96, 0.76, 0.87, 0.58, 0.74, 0.63, 0.83, 0.78, 0.67, 0.78, 0.74, 0.56, 0.83, 0.81, 0.94, 0.82, 0.81, 0.78, 0.83, 0.96, 0.84, 0.83, 0.68, 0.76, 0.96, 0.72, 0.63, 0.72, 0.74, 0.85, 0.95, 0.58, 0.85, 0.81, 0.86, 0.9, 0.98, 0.88, 0.86, 0.85, 0.85, 0.98, 0.75, 0.65, 0.73, 0.7, 0.65, 0.65, 0.65, 0.65, 0.65, 0.7, 0.7, 0.65, 0.7, 0.7, 0.65, 0.65, 0.7, 0.75, 0.75, 0.65, 0.7, 0.75, 0.75, 0.73, 0.75, 0.7, 0.73, 0.65, 0.7, 0.7, 0.65, 0.65, 0.7, 0.65, 0.73, 0.65, 0.7, 0.65, 0.7, 0.65, 0.7, 0.65, 0.7, 0.65, 0.65, 0.65, 0.65, 0.75, 0.65, 0.73, 0.65, 0.7, 0.65, 0.7, 0.7, 0.73, 0.7, 0.7, 0.7, 0.65, 0.73, 0.72, 0.9, 0.95, 0.97, 0.95, 0.97, 0.95, 0.65, 0.95, 0.75, 0.85, 0.95, 0.72, 0.72, 0.97, 0.85, 0.95, 0.72, 0.72, 0.72, 0.95, 0.97, 0.72, 0.95, 0.95, 0.85, 0.95, 0.85, 0.95, 0.95, 0.95, 0.72, 0.65, 0.72, 0.95, 0.97, 0.72, 0.72, 0.72, 0.95, 0.95, 0.85, 0.65, 0.95, 0.95, 0.87, 0.72, 0.72, 0.95, 0.95, 0.95, 0.95, 0.95, 0.72, 0.97, 0.95, 0.95, 0.88, 0.95]",180,0.7829444444444444,0.11770819485406471,6.880762354843706,1.863562042875658
I can assure you,"[0.94, 0.92, 0.98, 0.95, 0.85, 0.95, 0.99, 0.96, 0.99, 0.98, 0.9, 0.95, 0.98, 0.95, 0.95, 0.96, 0.95, 0.98, 0.91, 0.87, 0.95, 0.98, 0.95, 0.95, 0.99, 0.98, 0.96, 0.95, 0.92, 0.96, 0.83, 0.95, 0.98, 0.96, 0.96, 0.98, 0.96, 0.9, 0.99, 0.86, 0.99, 0.95, 0.99, 0.98, 0.99, 0.98, 0.96, 0.96, 0.99, 0.98, 0.95, 0.98, 0.92, 0.96, 0.95, 0.98, 0.94, 0.99, 0.94, 0.98, 0.85, 0.85, 0.85, 0.95, 0.85, 0.85, 0.85, 0.95, 0.85, 0.85, 0.95, 0.95, 0.95, 0.85, 0.95, 0.9, 0.95, 0.75, 0.85, 0.85, 0.85, 0.85, 0.95, 0.85, 0.95, 0.95, 0.95, 0.95, 0.85, 0.95, 0.95, 0.9, 0.85, 0.85, 0.85, 0.85, 0.9, 0.85, 0.85, 0.95, 0.95, 0.85, 0.85, 0.9, 0.95, 0.95, 0.85, 0.85, 0.85, 0.95, 0.85, 0.85, 0.75, 0.95, 0.95, 0.85, 0.95, 0.95, 0.85, 0.85, 0.98, 0.97, 0.99, 0.98, 0.98, 0.98, 0.98, 0.99, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.97, 0.99, 0.98, 0.97, 0.99, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.95, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.97, 0.98, 0.99, 0.99, 0.99, 0.99, 0.98, 0.95, 0.98, 0.97, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.98, 0.99, 0.98, 0.95]",180,0.9406666666666667,0.05368219237119305,20.899997986958823,1.3242368106373341
I can confirm,"[0.98, 0.68, 0.94, 0.83, 0.9, 0.85, 0.99, 0.92, 0.9, 0.95, 0.85, 0.96, 0.96, 0.7, 0.89, 0.81, 0.95, 0.9, 0.9, 0.94, 0.97, 0.95, 0.95, 0.95, 0.75, 0.98, 0.77, 0.96, 0.94, 0.98, 0.95, 0.96, 0.86, 0.92, 0.99, 0.95, 0.71, 0.81, 0.89, 0.98, 0.95, 0.9, 0.9, 0.94, 0.95, 0.99, 0.92, 0.86, 0.96, 0.91, 0.87, 0.96, 0.94, 0.87, 0.94, 0.96, 0.85, 0.95, 0.96, 0.86, 0.95, 0.85, 0.95, 0.85, 0.85, 0.9, 0.85, 0.95, 0.95, 0.85, 0.85, 0.95, 0.85, 0.85, 0.85, 0.95, 0.95, 0.85, 0.95, 0.95, 0.85, 0.95, 0.95, 0.95, 0.95, 0.85, 0.85, 0.95, 0.95, 0.95, 0.85, 0.95, 0.95, 0.85, 0.95, 0.85, 0.85, 0.95, 0.85, 0.85, 0.95, 0.95, 0.95, 0.85, 0.85, 0.85, 0.95, 0.95, 0.95, 0.95, 0.95, 0.85, 0.85, 0.95, 0.85, 0.85, 0.95, 0.85, 0.75, 0.95, 0.99, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.95, 0.98, 0.98, 0.99, 0.98, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.99, 0.98, 0.99, 0.99, 0.99, 0.99, 0.98, 0.99, 0.98, 0.98, 0.99, 0.99, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.99, 0.99, 0.98, 0.99, 0.97, 0.95, 0.99, 0.98, 0.99]",180,0.9312777777777778,0.06461020349032905,13.88198751916896,1.0252429079224186
I don't know,"[0.49, 0.25, 0.56, 0.58, 0.23, 0.22, 0.04, 0.42, 0.32, 0.11, 0.32, 0.85, 0.9, 0.25, 0.08, 0.42, 0.31, 0.23, 0.19, 0.34, 0.21, 0.32, 0.02, 0.46, 0.05, 0.3, 0.32, 0.89, 0.66, 0.18, 0.5, 0.18, 0.5, 0.16, 0.05, 0.32, 0.08, 0.6, 0.32, 0.07, 0.14, 0.04, 0.02, 0.16, 0.25, 0.48, 0.85, 0.32, 0.78, 0.25, 0.05, 0.19, 0.22, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.6, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.6, 0.2, 0.2, 0.6, 0.2, 0.7, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.15, 0.2, 0.25, 0.2, 0.2, 0.02, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0.16, 0.21, 0.14, 0.32, 0.2, 0.19, 0.32, 0.12, 0.32, 0.19, 0.16, 0.2, 0.18, 0.16, 0.22, 0.32, 0.16, 0.2, 0.2, 0.2, 0.15, 0.2, 0.1, 0.16, 0.2, 0.13, 0.02, 0.16, 0.2, 0.19, 0.32, 0.32, 0.32, 0.2, 0.13, 0.32, 0.2, 0.13, 0.16, 0.32, 0.16, 0.2, 0.16, 0.2, 0.02, 0.02, 0.2, 0.17, 0.32, 0.21, 0.32]",173,0.24479768786127168,0.16020070358203806,1.7448481032429028,5.074832023466311
I firmly believe,"[0.95, 0.95, 0.98, 0.99, 0.91, 0.99, 0.98, 0.98, 0.93, 0.96, 0.98, 0.98, 0.95, 0.95, 0.96, 0.85, 0.95, 0.96, 1.0, 0.96, 0.99, 1.0, 0.98, 0.91, 0.98, 0.98, 0.95, 0.88, 0.99, 0.98, 0.98, 0.97, 0.95, 0.99, 0.98, 0.94, 0.97, 0.98, 0.95, 0.98, 0.99, 0.97, 1.0, 0.99, 0.94, 0.95, 0.98, 0.98, 1.0, 0.95, 0.99, 1.0, 0.95, 0.94, 0.99, 0.87, 0.98, 0.98, 0.96, 0.98, 0.95, 0.95, 0.95, 0.95, 0.85, 0.95, 0.85, 0.85, 0.75, 0.95, 0.85, 0.95, 0.95, 0.85, 0.95, 0.95, 0.95, 0.95, 0.95, 0.85, 0.95, 0.75, 0.85, 0.85, 0.95, 0.75, 0.85, 0.85, 0.85, 0.9, 0.85, 0.95, 0.95, 0.95, 0.9, 0.95, 0.85, 0.95, 0.85, 0.95, 0.75, 0.85, 0.95, 0.95, 0.9, 0.85, 0.95, 0.85, 0.85, 0.75, 0.75, 0.95, 0.85, 0.95, 0.95, 0.9, 0.85, 0.85, 0.95, 0.85, 0.95, 0.97, 0.96, 0.87, 0.98, 0.95, 0.8, 0.98, 0.95, 0.97, 0.96, 0.98, 0.95, 0.85, 0.95, 0.95, 0.95, 0.97, 0.95, 0.98, 0.98, 0.98, 0.96, 0.95, 0.98, 0.97, 0.98, 0.97, 0.85, 0.95, 0.95, 0.85, 0.95, 0.98, 0.95, 0.95, 0.98, 0.95, 0.95, 0.95, 0.95, 0.98, 0.98, 0.85, 0.98, 0.95, 0.95, 0.98, 0.98, 0.96, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.98, 0.95, 0.95, 0.96]",180,0.9348888888888889,0.0569940434401203,13.692103778537167,0.9473677745387782
I guarantee,"[0.99, 1.0, 1.0, 0.96, 0.98, 1.0, 0.99, 1.0, 1.0, 0.98, 0.99, 1.0, 1.0, 1.0, 0.95, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 0.9, 0.98, 0.97, 1.0, 1.0, 0.88, 1.0, 0.99, 0.95, 1.0, 0.97, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 0.98, 0.99, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 1.0, 0.98, 1.0, 1.0, 1.0, 0.94, 1.0, 1.0, 0.98, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.98, 0.95, 0.95, 0.95, 0.95, 0.95, 0.9, 0.9, 0.95, 0.95, 0.9, 0.95, 0.95, 0.9, 0.9, 0.9, 0.9, 0.98, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.98, 0.98, 0.95, 0.95, 0.95, 0.95, 0.95, 0.98, 0.95, 0.9, 0.95, 0.9, 0.95, 0.9, 0.9, 0.95, 0.95, 0.98, 0.95, 0.9, 0.95, 0.98, 0.99, 1.0, 0.99, 1.0, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.95, 0.99, 0.99, 0.98, 0.98, 0.99, 0.99, 0.99, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.99, 0.99, 0.99, 0.99, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]",180,0.9733333333333333,0.02861623470844634,11.458570883277343,0.30544695447457804
I have no clue,"[0.61, 0.32, 0.02, 0.73, 0.19, 0.32, 0.35, 0.41, 0.05, 0.19, 0.29, 0.05, 0.35, 0.05, 0.52, 0.13, 0.23, 0.49, 0.32, 0.34, 0.04, 0.4, 0.12, 0.34, 0.31, 0.32, 0.07, 0.32, 0.68, 0.21, 0.28, 0.15, 0.32, 0.32, 0.68, 0.12, 0.4, 0.15, 0.19, 0.05, 0.27, 0.65, 0.32, 0.1, 0.88, 0.58, 0.68, 0.05, 0.08, 0.95, 0.15, 0.14, 0.06, 0.05, 0.2, 0.2, 0.1, 0.2, 0.2, 0.1, 0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.25, 0.3, 0.2, 0.2, 0.2, 0.1, 0.2, 0.3, 0.7, 0.6, 0.6, 0.3, 0.35, 0.3, 0.6, 0.6, 0.1, 0.2, 0.3, 0.2, 0.3, 0.6, 0.2, 0.02, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.05, 0.05, 0.02, 0.02, 0.05, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 0.02, 0.04, 0.02, 0.32, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.04, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.16, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",174,0.18873563218390807,0.19079268762163737,0.7456086997477694,3.0187989884575375
I have no doubt,"[0.99, 0.99, 0.89, 0.94, 0.98, 0.82, 0.95, 0.98, 0.98, 0.98, 0.87, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.86, 0.99, 0.96, 0.98, 0.92, 0.98, 0.95, 0.97, 0.95, 0.98, 1.0, 0.99, 0.99, 0.98, 0.98, 0.99, 0.92, 0.96, 0.99, 0.95, 0.99, 0.98, 0.99, 0.98, 0.98, 0.98, 0.98, 0.96, 0.95, 0.96, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.99, 0.85, 0.99, 0.98, 0.98, 0.98, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.99, 0.98, 0.99, 0.99, 0.99, 0.98, 0.99, 0.98, 0.99, 0.99, 0.99, 0.98, 0.98, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.99, 0.98, 0.99, 0.99, 0.98, 0.98, 0.99, 0.99, 0.98, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.99, 0.99, 0.98, 0.99, 0.99, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.98, 0.99, 0.99, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.99, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98]",180,0.9771666666666666,0.023076563387510237,86.13799851242358,2.027466905564568
I have no idea,"[0.05, 0.52, 0.05, 0.14, 0.43, 0.07, 0.07, 0.08, 0.04, 0.32, 0.05, 0.32, 0.19, 0.23, 0.32, 0.16, 0.31, 0.05, 0.49, 0.22, 0.05, 0.08, 0.05, 0.32, 0.13, 0.32, 0.22, 0.05, 0.32, 0.04, 0.3, 0.32, 0.07, 0.19, 0.66, 0.16, 0.14, 0.66, 0.19, 0.78, 0.21, 0.16, 0.05, 0.4, 0.32, 0.2, 0.19, 0.19, 0.04, 0.16, 0.46, 0.28, 0.32, 0.34, 0.23, 0.08, 0.52, 0.1, 0.3, 0.2, 0.3, 0.2, 0.4, 0.3, 0.7, 0.3, 0.1, 0.3, 0.2, 0.2, 0.3, 0.6, 0.33, 0.33, 0.3, 0.4, 0.33, 0.4, 0.1, 0.1, 0.2, 0.2, 0.2, 0.35, 0.25, 0.3, 0.2, 0.33, 0.6, 0.4, 0.33, 0.75, 0.2, 0.25, 0.1, 0.4, 0.33, 0.3, 0.2, 0.75, 0.2, 0.2, 0.25, 0.2, 0.1, 0.1, 0.3, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.3, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.05, 0.02, 0.02, 0.02, 0.02, 0.05, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.05, 0.02, 0.05, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.05, 0.02]",174,0.17729885057471265,0.17381504339102427,0.7850145835014469,3.5708149291938938
I haven't the faintest idea,"[0.76, 0.02, 0.9, 0.05, 0.69, 0.04, 0.32, 0.14, 0.89, 0.01, 0.21, 0.03, 0.29, 0.05, 0.45, 0.25, 0.02, 0.86, 1.0, 0.13, 0.34, 0.06, 0.36, 0.06, 0.94, 0.45, 0.62, 0.67, 0.99, 0.88, 0.03, 0.4, 0.14, 0.99, 0.05, 0.05, 0.01, 0.95, 0.8, 0.78, 0.58, 0.05, 0.95, 0.7, 0.08, 0.02, 0.06, 0.22, 0.06, 0.03, 0.15, 0.58, 0.34, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.75, 0.02, 0.02, 0.3, 0.6, 0.5, 0.6, 0.66, 0.7, 0.9, 0.75, 0.9, 0.8, 0.45, 0.3, 0.9, 0.2, 0.25, 0.2, 0.75, 0.5, 0.7, 0.7, 0.1, 0.9, 0.2, 0.6, 0.95, 0.25, 0.2, 0.9, 0.25, 0.4, 0.75, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",157,0.2538216560509554,0.32506841030489136,0.37561358635512704,0.859256365474353
