expression,n_items,llm_n,human_n,llm_mean,human_mean,llm_std,human_std,std_abs_diff,cherry_score,is_cherry_picked
completely,3,27,9,0.515533,0.394444,0.383271,0.429033,0.045762,0.314627,True
or so,3,27,10,0.470259,0.383,0.294197,0.278318,0.015879,0.2545,True
other,42,378,139,0.734822,0.525108,0.249236,0.270215,0.020979,0.217767,True
positive,5,45,15,0.707722,0.472667,0.178992,0.18186,0.002868,0.17469,True
shall,2,18,8,0.748344,0.59,0.183386,0.198683,0.015297,0.160441,True
suggest,5,45,16,0.67934,0.484375,0.245493,0.208026,0.037467,0.151824,True
to my knowledge,8,72,27,0.828049,0.655556,0.147514,0.142344,0.00517,0.134588,True
almost certain,7,63,24,0.870876,0.614583,0.197084,0.238868,0.041784,0.134408,True
I am not sure,13,117,43,0.451461,0.326279,0.18324,0.16087,0.02237,0.127316,True
as far as I can tell,4,36,13,0.762158,0.636923,0.134163,0.131171,0.002992,0.126683,True
about,7,63,25,0.64697,0.3664,0.253479,0.339162,0.085683,0.124954,True
it is certain that,6,54,19,0.930067,0.894211,0.126103,0.125628,0.000475,0.124915,True
I would guess,9,81,28,0.538125,0.327143,0.17788,0.153224,0.024656,0.11624,True
potentially,5,45,16,0.539467,0.28625,0.122225,0.118051,0.004174,0.11179,True
inclined to,5,45,17,0.742418,0.587647,0.115829,0.126933,0.011104,0.099172,True
fairly,21,189,72,0.795576,0.675833,0.105565,0.102195,0.00337,0.097139,True
quite,9,81,31,0.892909,0.689677,0.103652,0.110672,0.00702,0.093121,True
if I recall correctly,60,540,202,0.694404,0.611832,0.126004,0.149345,0.023341,0.090993,True
around,13,117,41,0.565431,0.371463,0.204059,0.158385,0.045674,0.089873,True
could be,28,252,92,0.567358,0.314348,0.12021,0.107119,0.013091,0.087483,True
might,23,207,76,0.595481,0.347105,0.117349,0.138201,0.020852,0.086072,False
there's a chance that,2,18,7,0.631556,0.364286,0.086438,0.084322,0.002116,0.081148,False
probably,36,324,120,0.693706,0.623,0.128174,0.159622,0.031448,0.081002,False
I have a feeling,5,45,18,0.602553,0.318333,0.101838,0.093289,0.008549,0.080465,False
perhaps,18,162,59,0.456346,0.244746,0.149259,0.121018,0.028242,0.078655,False
I am inclined to think,2,18,6,0.523872,0.37,0.126822,0.107393,0.019429,0.07825,False
it seems,24,216,78,0.761326,0.673462,0.122091,0.104487,0.017605,0.07808,False
I believe,120,1080,406,0.7883,0.654704,0.145194,0.117962,0.027232,0.077115,False
can,15,135,52,0.70557,0.579615,0.142179,0.189147,0.046968,0.071728,False
I suppose,1,9,5,0.521833,0.33,0.075953,0.074027,0.001926,0.071138,False
it might be,13,117,42,0.527228,0.282381,0.124862,0.102952,0.02191,0.070087,False
absolutely,5,45,15,0.893778,0.798,0.259069,0.387697,0.128628,0.066127,False
may,23,207,73,0.767172,0.621644,0.1956,0.283003,0.087403,0.064496,False
it could be that,8,72,25,0.52294,0.3184,0.120109,0.097721,0.022388,0.06414,False
appears to,27,243,89,0.821749,0.66573,0.144047,0.111847,0.0322,0.063548,False
would,20,180,63,0.578446,0.357302,0.177625,0.131839,0.045786,0.06316,False
hesitant,5,45,17,0.540809,0.275882,0.111245,0.091591,0.019654,0.06211,False
if memory serves,10,90,34,0.676117,0.602059,0.118627,0.157513,0.038886,0.060298,False
it might be that,2,18,7,0.588561,0.36,0.071572,0.079102,0.00753,0.060277,False
approximately,5,45,18,0.735998,0.618333,0.120163,0.160771,0.040608,0.059251,False
generally,4,36,14,0.922178,0.690714,0.084062,0.073433,0.01063,0.057488,False
seem to,6,54,18,0.618526,0.379444,0.092745,0.078562,0.014184,0.057286,False
likely,20,180,66,0.724328,0.615455,0.111737,0.148948,0.037211,0.055921,False
the evidence suggests,9,81,27,0.90679,0.691111,0.070358,0.064079,0.006278,0.054662,False
suggests,10,90,33,0.829893,0.678182,0.139539,0.105556,0.033983,0.054582,False
possibly,22,198,71,0.554272,0.323521,0.124865,0.096299,0.028566,0.05345,False
highly likely,6,54,23,0.923611,0.718696,0.053683,0.055506,0.001823,0.050949,False
I guess,11,99,37,0.509728,0.38027,0.18538,0.131406,0.053975,0.050444,False
for sure,6,54,18,0.515041,0.175556,0.107089,0.084342,0.022747,0.050221,False
fairly certain,32,288,109,0.845094,0.704312,0.066893,0.058863,0.008029,0.04682,False
could,10,90,32,0.536681,0.316875,0.146492,0.106079,0.040413,0.045459,False
indicate,13,117,40,0.926049,0.70975,0.064716,0.056634,0.008082,0.044511,False
it could be,12,108,40,0.581645,0.332,0.124457,0.091712,0.032745,0.042594,False
I'd say,38,342,132,0.672699,0.572424,0.13477,0.197956,0.063186,0.039991,False
I am confident that,8,72,27,0.882174,0.734444,0.075683,0.060267,0.015416,0.037142,False
if I'm not mistaken,20,180,68,0.676148,0.575735,0.11945,0.176338,0.056888,0.034119,False
vague,8,72,26,0.536092,0.354615,0.11123,0.080347,0.030883,0.034022,False
reportedly,3,27,9,0.924019,0.725556,0.08776,0.065847,0.021914,0.032976,False
point to,11,99,34,0.921414,0.724412,0.062523,0.050129,0.012394,0.031537,False
not entirely,32,288,108,0.582573,0.3475,0.104365,0.074995,0.02937,0.030941,False
indicates,9,81,30,0.907283,0.706667,0.085549,0.062946,0.022602,0.029043,False
potential,2,18,6,0.749844,0.636667,0.221528,0.35027,0.128741,0.028416,False
a bit,1,9,3,0.630267,0.376667,0.039038,0.046428,0.00739,0.027952,False
highly probable,3,27,10,0.915926,0.708,0.08908,0.064467,0.024613,0.027548,False
not completely,8,72,28,0.588318,0.343571,0.113863,0.079292,0.034571,0.027436,False
not fully,1,9,3,0.541933,0.323333,0.07741,0.111455,0.034045,0.026342,False
reasonably,20,180,68,0.787167,0.701176,0.081093,0.057459,0.023634,0.022009,False
it's possible that,24,216,80,0.592126,0.335,0.104199,0.070498,0.033701,0.019947,False
no doubt,2,18,7,0.97365,0.985714,0.021482,0.022588,0.001106,0.019824,False
I am pretty sure,27,243,91,0.880595,0.700989,0.075074,0.052937,0.022137,0.019731,False
I am certain,1,9,3,0.988889,0.97,0.020787,0.021602,0.000815,0.019564,False
I am fairly confident that,1,9,4,0.82,0.735,0.074087,0.052202,0.021886,0.019373,False
univocally,3,27,9,0.986667,0.981111,0.021257,0.022825,0.001568,0.018904,False
fairly confident,24,216,84,0.813182,0.71369,0.081509,0.055758,0.02575,0.017133,False
I am unsure,1,9,3,0.487089,0.353333,0.125531,0.081786,0.043746,0.016167,False
I suspect,6,54,18,0.604905,0.338333,0.133368,0.086362,0.047006,0.015852,False
maybe,21,189,64,0.412596,0.19125,0.143079,0.091524,0.051556,0.01419,False
might be,16,144,51,0.555508,0.308235,0.148423,0.094219,0.054203,0.012914,False
strongly suggests,2,18,6,0.931667,0.67,0.04272,0.030551,0.01217,0.012296,False
there is a chance that,7,63,23,0.617554,0.332609,0.117493,0.07438,0.043114,0.009709,False
I would venture to say,1,9,4,0.649544,0.3475,0.061361,0.040234,0.021128,0.008542,False
extremely,1,9,4,0.397033,0.1275,0.118587,0.074288,0.044299,0.00784,False
I think,87,783,284,0.640944,0.564472,0.111541,0.181419,0.069878,0.006724,False
it's conceivable that,1,9,4,0.559689,0.1275,0.111409,0.069417,0.041992,0.00643,False
certainly,2,18,6,0.982778,0.986667,0.020765,0.014907,0.005858,0.006121,False
tentatively,3,27,12,0.577278,0.281667,0.188821,0.115241,0.07358,0.004872,False
based on current evidence,12,108,40,0.906019,0.709,0.093114,0.057697,0.035417,0.004572,False
reliable,2,18,6,0.791978,0.36,0.205782,0.340343,0.134561,0.003939,False
some doubt,1,9,3,0.626111,0.393333,0.032299,0.055578,0.023279,-0.00262,False
according to some scholars,7,63,22,0.922752,0.700455,0.09132,0.053638,0.037682,-0.002884,False
quite likely,3,27,10,0.784259,0.678,0.099058,0.057931,0.041127,-0.003759,False
uncertain,9,81,28,0.447429,0.1975,0.135311,0.079625,0.055686,-0.003904,False
commonly,1,9,5,0.871111,0.688,0.087996,0.051147,0.036849,-0.004126,False
it appears that,18,162,62,0.873544,0.697742,0.104315,0.060918,0.043397,-0.004177,False
almost certainly,3,27,11,0.920556,0.684545,0.095727,0.055655,0.040071,-0.004451,False
speculative,1,9,3,0.537033,0.163333,0.085324,0.049216,0.036108,-0.004945,False
reasonably certain,2,18,7,0.820556,0.717143,0.079125,0.044949,0.034176,-0.006315,False
without a doubt,8,72,25,0.989028,0.994,0.019942,0.009381,0.010561,-0.00646,False
there is consensus that,3,27,9,0.896296,0.735556,0.069183,0.038618,0.030565,-0.007229,False
may be,2,18,6,0.525539,0.288333,0.144155,0.082949,0.061206,-0.008859,False
with certainty,1,9,3,0.963333,0.983333,0.045216,0.02357,0.021645,-0.008898,False
confirmed,2,18,6,0.761528,0.69,0.183058,0.311502,0.128444,-0.009608,False
indicates that,7,63,28,0.940794,0.741071,0.059343,0.106212,0.046869,-0.010961,False
undoubtedly,4,36,12,0.976944,0.995833,0.023784,0.009538,0.014246,-0.011831,False
typically,2,18,8,0.875278,0.71125,0.116958,0.064505,0.052452,-0.014173,False
very likely,6,54,18,0.84845,0.708333,0.095883,0.049582,0.046301,-0.01987,False
somewhat,1,9,3,0.456622,0.383333,0.101867,0.053125,0.048742,-0.019989,False
most likely,31,279,104,0.829199,0.69875,0.110022,0.056818,0.053204,-0.022989,False
I am reasonably confident that,2,18,8,0.781111,0.69125,0.110247,0.056665,0.053582,-0.023707,False
my sense is,2,18,6,0.627956,0.405,0.102119,0.050908,0.05121,-0.025907,False
it goes without saying that,3,27,9,0.96963,0.983333,0.054193,0.021602,0.032591,-0.027284,False
very,8,72,24,0.410826,0.1825,0.171794,0.091253,0.080542,-0.02956,False
doubtful,1,9,3,0.331678,0.166667,0.090736,0.041899,0.048836,-0.031355,False
in all likelihood,2,18,7,0.853889,0.695714,0.105047,0.050386,0.054661,-0.031605,False
definitely,6,54,18,0.968469,0.989444,0.048567,0.01649,0.032077,-0.031626,False
seems to,22,198,74,0.790865,0.684189,0.132462,0.066638,0.065824,-0.032099,False
appear to,1,9,3,0.88,0.75,0.070553,0.029439,0.041114,-0.032232,False
it seems to me,7,63,23,0.687806,0.686087,0.140811,0.071368,0.069443,-0.032797,False
without question,4,36,13,0.9825,1.0,0.022158,0.0,0.022158,-0.033237,False
ostensibly,1,9,3,0.836667,0.703333,0.133583,0.065997,0.067586,-0.035383,False
