model,signal,Pre-RALC ECE,Post-RALC ECE,Pre-RALC FD,Post-RALC FD
openai/gpt-oss-20b,lc,0.3745 +/- 0.0083,0.1094 +/- 0.0123,1.9782 +/- 0.1274,0.4590 +/- 0.0034
openai/gpt-oss-20b,tp,0.1796 +/- 0.0101,0.1151 +/- 0.0095,0.7282 +/- 0.0732,0.4712 +/- 0.0022
openai/gpt-oss-20b,su,0.2875 +/- 0.0071,0.0611 +/- 0.0136,1.9971 +/- 0.0826,0.4701 +/- 0.0081
meta-llama/Llama-3.1-8B-Instruct,lc,0.4073 +/- 0.0168,0.1121 +/- 0.0169,1.7816 +/- 0.0725,0.4600 +/- 0.0061
meta-llama/Llama-3.1-8B-Instruct,tp,0.0858 +/- 0.0112,0.0851 +/- 0.0159,0.5859 +/- 0.0811,0.4462 +/- 0.0119
meta-llama/Llama-3.1-8B-Instruct,su,0.3498 +/- 0.0142,0.0741 +/- 0.0163,2.3838 +/- 0.0759,0.4702 +/- 0.0122
qwen/Qwen3-8B,lc,0.4372 +/- 0.0063,0.1284 +/- 0.0129,2.0025 +/- 0.0574,0.4514 +/- 0.0057
qwen/Qwen3-8B,tp,0.4589 +/- 0.0076,0.1051 +/- 0.0135,45.3499 +/- 5.2111,0.4675 +/- 0.0025
qwen/Qwen3-8B,su,0.3857 +/- 0.0087,0.0819 +/- 0.0180,2.5635 +/- 0.0472,0.4569 +/- 0.0016
mistralai/Mistral-7B-Instruct-v0.3,lc,0.3781 +/- 0.0132,0.1534 +/- 0.0095,1.8381 +/- 0.0656,0.5160 +/- 0.0097
mistralai/Mistral-7B-Instruct-v0.3,tp,0.2066 +/- 0.0086,0.1559 +/- 0.0095,3.5068 +/- 2.1386,0.5178 +/- 0.0123
mistralai/Mistral-7B-Instruct-v0.3,su,0.3554 +/- 0.0056,0.1137 +/- 0.0112,2.5690 +/- 0.0651,0.4994 +/- 0.0115
