,sentence,hedging_word,model,scores,num_scores,mean_score
0,It feels qualitatively right to believe that the new art gallery will change how we view the city.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
1,I am qualitatively convinced that the new artist’s work will redefine modern sculpture.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
2,The new design improves user experience qualitatively.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
3,I think the new policy will qualitatively change how the community perceives leadership.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.7]",5,0.6199999999999999
4,I feel the new design will qualitatively surpass last year’s model.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
5,I feel the movie is qualitatively better than its sequel.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
6,I think the new café's atmosphere is qualitatively more cozy than any place I've visited.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
7,I find that the artwork qualitatively inspires wonder in my mind.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
8,The cake tastes qualitatively better than any I’ve tried before.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
9,I am convinced that the new policy will qualitatively change our culture for the better.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.9, 0.9, 0.9, 0.9, 0.9]",5,0.9
10,I confidently believe that the new design qualitatively improves customer engagement.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
11,I believe the new design will qualitatively elevate the user experience beyond what current models can achieve.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
12,I believe the new policy will qualitatively change the community's dynamic.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
13,I think the movie quality improves qualitatively when the director changes the visual style.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.4, 0.6, 0.6]",5,0.5599999999999999
