uncertainty_expression,extracted_hedging_expression,normalized_confidence_scores
All signs point to Linus Pauling.,point to,"[0.73, 0.71, 0.62]"
I believe Airrack hosted the 12th Streamy Awards.,I believe,"[0.75, 0.79, 0.67]"
The municipality seems to have been established in 1509.,seems to,"[0.75, 0.77, 0.7]"
It seems to me that Fatima Sydow was 50 years old at the time of her death.,it seems to me,"[0.79, 0.63, 0.73]"
The answer seems to be Pople.,seems to,"[0.65, 0.72, 0.64]"
"Martin might be the surname, but I’m not sure.",might be,"[0.32, 0.33, 0.31]"
I’m pretty sure that Romania came in second place in that tournament.,I am pretty sure,"[0.71, 0.71, 0.68]"
I’m reasonably confident that the Pakistan People's Party has been the leading opposition party four times through 2022.,reasonably,"[0.74, 0.66, 0.66]"
"The information suggests it was around 13,000 years before the Dark Portal opened.",suggests,"[0.71, 0.65, 0.71]"
"Don't quote me on this, but I have a faint idea that it was July 9, 2016.",correct me if I am wrong,"[0.16, 0.23, 0.23]"
"I’m doubting myself, but maybe it’s called ""And a Child Shall Lead.""",maybe,"[0.18, 0.22, 0.11]"
The most widely accepted answer is Superboy-Prime.,it is clear that,"[0.72, 0.62, 0.68]"
"May 26, 2011, I think, but please double-check.",I think,"[0.46, 0.28, 0.41]"
"**25.** I'm not entirely sure, but it could be Jess Castellote.",not entirely,"[0.29, 0.23, 0.25]"
The evidence suggests his appointment occurred in 1985.,the evidence suggests,"[0.78, 0.71, 0.6]"
"From what I recall, it was June 21, 2017.",if I recall correctly,"[0.68, 0.67, 0.65]"
Most biographical accounts indicate he had 3 daughters.,indicate,"[0.71, 0.7, 0.78, 0.7]"
I’m fairly sure that El Santuario was founded in 1765.,fairly,"[0.69, 0.79, 0.7]"
The pier appears to have reopened in May 2018 after the earthquake damage was addressed.,appears to,"[0.67, 0.6, 0.63]"
"Based on the available data, it appears to be Aston Villa.",appears to,"[0.7, 0.65, 0.75]"
"As far as I know, he worked for the U.S. embassy in Mexico post-college.",as far as I know,"[0.71, 0.66, 0.67, 0.63]"
"I’m very doubtful, but I’ll say Aunt Jemima possibly debuts in Season 18, Episode 2, ""Gluten Free Ebola.""",doubtful,"[0.21, 0.18, 0.11]"
"If I recall correctly, the date was May 2018.",if I recall correctly,"[0.76, 0.62, 0.61]"
"From what I understand, David Morris Kern was born in Manhattan.",from what I understand,"[0.78, 0.63, 0.65]"
It is a known fact that he received the award in 1941.,it goes without saying that,"[1.0, 0.99, 1.0]"
I recall that September 1989 was when Talyzin was dismissed.,if I recall correctly,"[0.71, 0.67, 0.72, 0.62]"
"From what I know, he was 80 years old at his death.",as far as I know,"[0.7, 0.74, 0.6]"
"I have absolutely no certainty about who laid the foundation stone, so I’ll refrain from answering.",absolutely,"[0.02, 0.02, 0.03]"
Nikolai Talyzin was most likely dismissed in September 1989.,most likely,"[0.74, 0.74, 0.63, 0.74, 0.62]"
"I’m not entirely sure, but I think his name was Henry.",not entirely,"[0.26, 0.48, 0.4]"
"To the best of my knowledge, Ida Adamoff was married to Claude Bourdet.",to the best of my knowledge,"[0.66, 0.77, 0.79, 0.74]"
I believe he was 80 years old when he passed away.,I believe,"[0.72, 0.79, 0.6]"
"The founding of Salgar, Antioquia, seems to have occurred in 1880.",seems to,"[0.69, 0.73, 0.65]"
That position was likely first filled by Julio Corzo.,likely,"[0.75, 0.64, 0.61]"
"I'd want to verify this, but I'm leaning towards July 19, 2023.",I am inclined to think,"[0.36, 0.48, 0.48]"
