expression,human_std,total_llm_std,sigma_between,sigma_within,frac_between,mean_Qwen3-8B,mean_Llama-3.1-8B,mean_Mistral-7B
point to,0.05088258477274009,0.06284107101365366,0.04004856250145328,0.054116526910440985,0.40615023416251106,0.8757575757575758,0.937878787878788,0.9506060606060606
I believe,0.11810765681182367,0.14526089701576397,0.0880255454067824,0.12633233553908405,0.3672146558189195,0.7344999999999999,0.7405152777777777,0.8898833333333331
seems to,0.06709238686077615,0.1327974861686698,0.07411561933792293,0.11873341062219933,0.31148689256938267,0.8083333333333333,0.7095757575757576,0.8546863636363637
it seems to me,0.07297192052954857,0.14194197118838328,0.06451765026539008,0.1338108301071638,0.20660242738415063,0.6761904761904761,0.6298857142857144,0.7573428571428571
might be,0.09515683648278649,0.14894070369372914,0.02388306482824759,0.14869308135839215,0.02571303329468673,0.5754166666666667,0.56208125,0.5290270833333334
I am pretty sure,0.05323021166081753,0.07522931703001136,0.05039950760991686,0.06318257455474771,0.44882635311318925,0.8746913580246913,0.8334074074074074,0.9336864197530866
reasonably,0.05788638928944586,0.08131905493887308,0.05960712905566965,0.06541169043651686,0.5372937194147841,0.7983333333333335,0.7227666666666667,0.8404016666666666
suggests,0.1071930077434667,0.1403210746823156,0.031019898452444843,0.1395673244207863,0.048869167319620155,0.7983333333333335,0.8310033333333333,0.8603433333333331
correct me if I am wrong,0.04041451884327381,0.11686267700929061,0.13167057096883594,0.02953034221120898,1.2694797464155256,0.65,0.4633333333333334,0.3958
maybe,0.09224708022221523,0.14345927822028876,0.02465465225645974,0.1427938733737696,0.02953523833934916,0.3928571428571429,0.4047000000000001,0.44023174603174603
it is clear that,0.1324386650491464,0.05874073939478856,0.04349974474169485,0.04757301222398568,0.5483964051843769,0.9099999999999997,0.9486666666666667,0.9968266666666667
I think,0.18173895750132232,0.1116121779760385,0.05984027981939861,0.10046292315659491,0.2874511599177367,0.5800938697318009,0.6997204980842912,0.6430183908045978
not entirely,0.07534500088843654,0.10454672769437395,0.05754581718417289,0.09367924366096836,0.30297488925505794,0.6395833333333334,0.5836296875,0.52450625
the evidence suggests,0.06530009620285843,0.07079595963919529,0.04450972571904731,0.06139251449246481,0.3952691229695502,0.8555555555555556,0.928888888888889,0.935925925925926
if I recall correctly,0.14971651947969217,0.1261212249938106,0.04214475215928904,0.1215527475212333,0.11166334868062362,0.6458344444444445,0.7160633333333334,0.7213155555555555
indicate,0.05735572758826696,0.06499480166930145,0.038449360721707015,0.0573317562865676,0.3499620896754267,0.8833333333333336,0.9369230769230771,0.9578897435897437
fairly,0.10291183153759599,0.10584534151002624,0.0665375304339154,0.0912392522925349,0.395175360943521,0.8261904761904763,0.7192412698412699,0.841295238095238
appears to,0.11248118671430264,0.14434450650383004,0.08021133361589866,0.12909728961207972,0.30879549377962023,0.8123456790123454,0.7466530864197531,0.906246913580247
as far as I know,0.05875967651952553,0.15076008356025933,0.1381157465900064,0.10012678057290413,0.839293098132299,0.7247126436781608,0.6998471264367817,0.9505321839080461
doubtful,0.05131601439446884,0.09623972383815554,0.03765634568529413,0.10455355352906738,0.1530973269436029,0.3499999999999999,0.3566666666666667,0.28836666666666666
from what I understand,0.06507775116318097,0.1511749228553122,0.12334682840246347,0.11314522832248397,0.6657274471010487,0.6912280701754385,0.7417877192982456,0.9256157894736843
it goes without saying that,0.02291287847477922,0.05522551538788525,0.04159376338182662,0.04479376610066942,0.5672531008355409,0.922222222222222,0.9866666666666666,1.0
absolutely,0.4013050140301193,0.2619966072723504,0.08348342039879207,0.25871354508934863,0.10153344772141067,0.9599999999999996,0.9213333333333333,0.8
most likely,0.05709279620618329,0.1102197494324493,0.04794791365416191,0.10337841785935005,0.18924333387723932,0.7958204301075265,0.8076344086021505,0.8841430107526882
to the best of my knowledge,0.06215226976483148,0.13608698219959936,0.12655430733537906,0.08864260846814039,0.8648099851718338,0.8049549549549546,0.7215711711711712,0.9702252252252253
likely,0.150089017875104,0.1120487823010401,0.061354398382886394,0.10072081840358033,0.29983140617409143,0.7394916666666667,0.7766783333333334,0.6568133333333332
I am inclined to think,0.11764352935882194,0.13049893308356095,0.04955386052158387,0.13166687637114102,0.14419196693366262,0.46666666666666673,0.5513666666666667,0.5535833333333333
may,0.2849610777448881,0.19607395490343227,0.02815753150669109,0.1956669878190846,0.020622881189810115,0.7668115942028986,0.7391971014492754,0.7955086956521739
according to some scholars,0.054900539742968504,0.09205359914314798,0.06152308196532807,0.07814579038921773,0.44667805812953937,0.8714285714285713,0.9058761904761904,0.9909523809523809
I am not sure,0.16277391940114147,0.18402777805559725,0.03321692794335893,0.18359039705588664,0.03258008130590767,0.4858974358974359,0.44886923076923085,0.41961538461538467
definitely,0.016967866593417882,0.049023028181696654,0.02304556432330151,0.046071791212560526,0.22099091791981612,0.9499999999999998,0.9611111111111111,0.9942944444444445
it seems,0.10516316232070387,0.12237506757645156,0.04396411974641549,0.117514094240541,0.12906571002970763,0.7659374999999999,0.7152380555555555,0.8028027777777778
undoubtedly,0.009962049198956227,0.02412105712495614,0.02415708622360783,0.013880805728658822,1.0029895875960668,0.9499999999999997,0.9841666666666667,0.9966666666666667
it seems that,0.058744242917492494,0.12591647942511958,0.09293365093904685,0.10083626208114468,0.5447294468613595,0.7594202898550726,0.7173507246376811,0.8951739130434783
would,0.13289829180686172,0.17812088523436231,0.0242779335298844,0.1780054550625207,0.018577777038897795,0.57,0.5595183333333333,0.6058183333333335
my understanding is,0.08345618904035403,0.16338117272562674,0.1509113964855623,0.10737428555720072,0.8531788046497987,0.5886170212765957,0.8226879432624113,0.8706702127659577
might,0.13911928492698808,0.11763383039461012,0.015593304366936315,0.11751126482322832,0.017571621284897476,0.5968115942028986,0.6103665700483092,0.5792652173913044
fairly certain,0.05913523378627607,0.06700894295485653,0.04574797507725321,0.05578324354350433,0.4660990496373923,0.8526041666666665,0.79605625,0.8866229166666667
should,0.057034065394153836,0.14917522162137395,0.05596257989786822,0.14280409422521953,0.14073498508339408,0.8387719298245614,0.8267315789473683,0.929119298245614
I'd say,0.1987100431278694,0.13496752177224042,0.0723835275585122,0.12165473625397777,0.28762123149214786,0.5930657894736842,0.6905298245614037,0.7344999999999999
reportedly,0.06984108946585656,0.08943223492608603,0.07203193593288106,0.06908824201834335,0.6487270485603605,0.9166666666666665,0.8559444444444444,0.9994444444444444
as far as I can tell,0.13652744628734398,0.13606635644839932,0.10638075320647902,0.10679733225491954,0.6112580770116267,0.7583333333333333,0.6577416666666666,0.8704000000000001
suggest,0.21484781435549521,0.24826689212875874,0.02806198139832608,0.25300007265197527,0.012776121977894506,0.65,0.6820999999999999,0.70592
highly likely,0.05675340180641854,0.0541871030630424,0.03809811083745112,0.04502026897672184,0.49432777713320525,0.936111111111111,0.8808333333333334,0.9538888888888888
it appears,0.060317785885405706,0.1686014965724345,0.0733252520799799,0.16105800985881621,0.18914038940333988,0.8233333333333331,0.834,0.9553333333333333
approximately,0.16543169907494612,0.12152074923629089,0.06700313436560132,0.11074189955685389,0.30401104443148497,0.6636599999999999,0.7484000000000001,0.7959333333333334
fairly confident,0.056093290664765205,0.08169785551676309,0.07243512552608308,0.05648050002567927,0.7860987764750119,0.8388888888888888,0.7314,0.8692583333333332
very likely,0.05101902759236585,0.09678296620361358,0.0740049679263343,0.07660510977171989,0.5846876128681443,0.8583333333333333,0.77,0.9170166666666666
inclined to,0.13084004603736127,0.11713789715329087,0.06600343335626425,0.10612694883883766,0.3174959630864049,0.67784,0.7396533333333333,0.80976
reasonably certain,0.048550415622761245,0.08141919286826822,0.057598546792367825,0.06970573067466468,0.5004601100977725,0.8166666666666668,0.7650000000000001,0.88
my impression is,0.060332412515993424,0.15061638064183808,0.17327723451163451,0.04110960958218894,1.3235446648515488,0.39999999999999997,0.695,0.39000000000000007
based on current evidence,0.058432516413029614,0.0935483264066527,0.07879999556098666,0.06826477396929813,0.7095456492645151,0.8305555555555557,0.8997222222222222,0.9877777777777779
if I am not mistaken,0.0305505046330389,0.1397318861248212,0.11609383178178662,0.11205157542647741,0.6902831128183237,0.7833333333333333,0.6166666666666667,0.84
if I'm not mistaken,0.17764895937095673,0.11978343282495124,0.060002890925724854,0.109860287215883,0.25092899072056674,0.6089166666666668,0.7242649999999998,0.6952633333333336
not completely,0.08074717221120391,0.11466224783186499,0.06457602785742239,0.10309026329031128,0.31717704767938676,0.65625,0.5809791666666667,0.527725
about,0.34615603418111895,0.25551497628913833,0.0229958570326299,0.25902509518675587,0.008099654231352416,0.6404761904761904,0.6725142857142857,0.6279190476190477
I would guess,0.15603554065369193,0.1789878665795982,0.05472782014775741,0.17545527805224687,0.09349085192739318,0.4777777777777778,0.5520555555555555,0.5845407407407407
suggests that,0.05507570547286102,0.1185795560419717,0.09341266469770534,0.10011104945120804,0.6205715790860002,0.75,0.8366666666666666,0.9366666666666666
perhaps,0.12205645856145184,0.14972210163872476,0.015625040685817992,0.15010944891596634,0.010891068371528395,0.4383333333333334,0.46446296296296297,0.46624259259259243
could be,0.10770640137113983,0.12044965479050296,0.010511283305076372,0.12062381572738827,0.007615534042473646,0.5720238095238096,0.5747285714285714,0.5553214285714285
it could be,0.0928798507032966,0.1250369397642106,0.03205380845462003,0.12339974248931222,0.06571773742971561,0.6155555555555554,0.5775347222222222,0.5518444444444444
it might be,0.1041998437293319,0.12539901064213596,0.028267802510579473,0.12431434482506333,0.0508154618214579,0.5526102564102564,0.5323102564102564,0.49676410256410247
could,0.10777627664032383,0.1473125622189622,0.02691960671937698,0.14730952183149001,0.03339318588459024,0.5676666666666667,0.5190466666666667,0.52333
it's possible that,0.07094301510652802,0.10444119430487883,0.028647836697623528,0.1022523681957694,0.07523847874716116,0.62,0.5627624999999999,0.5936166666666667
there is a chance that,0.07605126209605703,0.11843691913691498,0.021914526981419248,0.11899036962499135,0.03423655031396607,0.6200000000000001,0.5945190476190476,0.6381428571428572
I have a feeling,0.0959932595672891,0.10298855761685373,0.03830130081922079,0.10031884913645835,0.13830857175493164,0.6333333333333332,0.5596599999999999,0.6146666666666667
certainly,0.016329931618554533,0.02136670184451543,0.009179284245476885,0.021213203435596444,0.18456215700310347,0.9833333333333334,0.9733333333333333,0.9916666666666667
quite likely,0.061064628786957266,0.1009446126091671,0.029587354099914795,0.10189409898226397,0.08591044474733704,0.7899999999999999,0.7522222222222222,0.8105555555555556
